X  1.44187625, cosTheta -0.21749118, sinTheta  0.97606229,
X  1.44190892, cosTheta -0.21819900, sinTheta  0.97590430,
X  1.44194255, cosTheta -0.21892354, sinTheta  0.97574202,
X  1.44197715, cosTheta -0.21966480, sinTheta  0.97557541,
X  1.44201272, cosTheta -0.22042279, sinTheta  0.97540443,
X  1.44204925, cosTheta -0.22119750, sinTheta  0.97522903,
X  1.44208675, cosTheta -0.22198893, sinTheta  0.97504919,
X  1.44212522, cosTheta -0.22279707, sinTheta  0.97486484,
X  1.44216464, cosTheta -0.22362194, sinTheta  0.97467596,
X  1.44220503, cosTheta -0.22446351, sinTheta  0.97448250,
X  1.44224637, cosTheta -0.22532179, sinTheta  0.97428440,
X  1.44228866, cosTheta -0.22619678, sinTheta  0.97408163,
X  1.44233190, cosTheta -0.22708848, sinTheta  0.97387413,
X  1.44237609, cosTheta -0.22799688, sinTheta  0.97366186,
X  1.44242121, cosTheta -0.22892198, sinTheta  0.97344477,
X  1.44246726, cosTheta -0.22986378, sinTheta  0.97322281,
X  1.44251423, cosTheta -0.23082227, sinTheta  0.97299593,
X  1.44256212, cosTheta -0.23179746, sinTheta  0.97276407,
X  1.44261092, cosTheta -0.23278933, sinTheta  0.97252719,
X  1.44266061, cosTheta -0.23379788, sinTheta  0.97228522,
X  1.44271120, cosTheta -0.23482312, sinTheta  0.97203812,
X  1.44276267, cosTheta -0.23586503, sinTheta  0.97178582,
X  1.44281501, cosTheta -0.23692362, sinTheta  0.97152828,
X  1.44286821, cosTheta -0.23799887, sinTheta  0.97126543,
X  1.44292225, cosTheta -0.23909079, sinTheta  0.97099722,
X  1.44297714, cosTheta -0.24019936, sinTheta  0.97072358,
X  1.44303284, cosTheta -0.24132459, sinTheta  0.97044446,
X  1.44308935, cosTheta -0.24246646, sinTheta  0.97015979,
X  1.44314666, cosTheta -0.24362498, sinTheta  0.96986951,
X  1.44320475, cosTheta -0.24480013, sinTheta  0.96957357,
X  1.44326361, cosTheta -0.24599190, sinTheta  0.96927188,
X  1.44332321, cosTheta -0.24720030, sinTheta  0.96896440,
X  1.44338355, cosTheta -0.24842531, sinTheta  0.96865105,
X  1.44344460, cosTheta -0.24966693, sinTheta  0.96833177,
X  1.44350635, cosTheta -0.25092514, sinTheta  0.96800650,
X  1.44356878, cosTheta -0.25219994, sinTheta  0.96767515,
X  1.44363187, cosTheta -0.25349131, sinTheta  0.96733766,
X  1.44369560, cosTheta -0.25479926, sinTheta  0.96699397,
X  1.44375995, cosTheta -0.25612376, sinTheta  0.96664400,
X  1.44382490, cosTheta -0.25746480, sinTheta  0.96628768,
X  1.44389043, cosTheta -0.25882238, sinTheta  0.96592493,
X  1.44395652, cosTheta -0.26019648, sinTheta  0.96555569,
X  1.44402313, cosTheta -0.26158708, sinTheta  0.96517988,
X  1.44409026, cosTheta -0.26299418, sinTheta  0.96479742,
X  1.44415787, cosTheta -0.26441776, sinTheta  0.96440824,
X  1.44422595, cosTheta -0.26585780, sinTheta  0.96401226,
